Station,DateTime,Ohms0,Ohms1,Ohms2,Ohms3,OhmsRef,Vbat,Temp
19Jan19_Tst2,02/02/19 07:33, 1307889, 116, 692, 1183, 471, 5.83, 17.38
19Jan19_Tst2,02/02/19 08:41, 1310283, 116, 692, 1183, 471, 5.81, 17.50
19Jan19_Tst2,02/02/19 09:24, 1263070, 116, 692, 1183, 471, 5.82, 17.44
19Jan19_Tst2,02/02/19 09:26, 1232508, 116, 692, 1183, 471, 5.83, 17.50
19Jan19_Tst2,02/02/19 09:36, 1307889, 116, 692, 1183, 471, 5.83, 17.44
19Jan19_Tst2,02/02/19 10:59, 1412594, 116, 782, 1183, 471, 5.84, 17.44
19Jan19_Tst2,02/02/19 11:04, 1263070, 116, 782, 1183, 471, 5.84, 17.50
19Jan19_Tst2,02/02/19 11:07, 1244442, 116, 782, 1183, 471, 5.83, 17.56
19Jan19_Tst2,02/02/19 11:14, 1226680, 116, 783, 1183, 471, 5.82, 17.63
19Jan19_Tst2,02/02/19 11:24, 1269483, 116, 780, 1183, 471, 5.82, 17.69
19Jan19_Tst2,02/02/19 11:31, 1267089, 116, 783, 1183, 471, 5.82, 17.75
19Jan19_Tst2,02/02/19 11:33, 1226680, 116, 784, 1183, 471, 5.82, 17.75
19Jan19_Tst2,02/02/19 11:41, 1273608, 116, 780, 1183, 471, 5.83, 17.81
19Jan19_Tst2,02/02/19 11:43, 1193525, 116, 780, 1184, 471, 5.81, 17.81
19Jan19_Tst2,02/02/19 11:50, 1250552, 116, 778, 1183, 471, 5.81, 17.81
19Jan19_Tst2,02/02/19 11:56, 1380061, 116, 780, 1183, 471, 5.82, 17.81
19Jan19_Tst2,02/02/19 11:59, 1232508, 116, 780, 1183, 471, 5.84, 17.81
19Jan19_Tst2,02/02/19 12:03, 1276002, 116, 779, 1184, 471, 5.82, 17.81
19Jan19_Tst2,02/02/19 12:06, 1377667, 116, 782, 1184, 471, 5.84, 17.81
19Jan19_Tst2,02/02/19 12:08, 1289368, 116, 784, 1183, 471, 5.81, 17.81
19Jan19_Tst2,02/02/19 12:10, 1289368, 116, 784, 1183, 471, 5.83, 17.81
19Jan19_Tst2,02/02/19 12:12, 1236034, 116, 784, 1184, 471, 5.82, 17.81
19Jan19_Tst2,02/02/19 12:22, 1317496, 116, 781, 1184, 471, 5.84, 17.81
19Jan19_Tst2,02/02/19 12:24, 1282630, 116, 782, 1184, 471, 5.81, 17.81
19Jan19_Tst2,02/02/19 12:27, 1296222, 116, 781, 1184, 471, 5.81, 17.81
19Jan19_Tst2,02/02/19 12:30, 1375297, 116, 781, 1184, 471, 5.83, 17.81
19Jan19_Tst2,02/02/19 12:40, 1215291, 116, 780, 1184, 471, 5.83, 17.69
19Jan19_Tst2,02/02/19 12:42, 1296222, 116, 780, 1184, 471, 5.81, 17.75
19Jan19_Tst2,02/02/19 12:45, 1320073, 116, 782, 1183, 471, 5.83, 17.75
19Jan19_Tst2,02/02/19 12:47, 1282630, 116, 780, 1183, 471, 5.81, 17.81
19Jan19_Tst2,02/02/19 12:50, 1220942, 116, 780, 1184, 471, 5.83, 17.81
19Jan19_Tst2,02/02/19 13:09, 1289368, 116, 702, 1184, 471, 5.84, 17.94
19Jan19_Tst2,02/02/19 13:12, 1254367, 116, 680, 1183, 471, 5.82, 17.94
19Jan19_Tst2,02/02/19 13:14, 1256761, 116, 679, 1183, 471, 5.83, 17.94
19Jan19_Tst2,02/02/19 13:36, 1263070, 116, 678, 1183, 471, 5.83, 17.94
19Jan19_Tst2,02/02/19 13:41, 1335147, 116, 677, 1183, 471, 5.84, 18.00
19Jan19_Tst2,02/02/19 13:43, 1198845, 116, 678, 1183, 471, 5.81, 18.00
19Jan19_Tst2,02/02/19 13:45, 1256761, 116, 677, 1183, 471, 5.84, 18.00
19Jan19_Tst2,02/02/19 13:47, 1215291, 116, 678, 1184, 471, 5.83, 18.00
19Jan19_Tst2,02/02/19 13:56, 1250552, 116, 677, 1184, 471, 5.82, 18.00
19Jan19_Tst2,02/02/19 14:01, 1173012, 116, 677, 1183, 471, 5.82, 18.06
19Jan19_Tst2,02/02/19 14:03, 1332307, 116, 677, 1183, 471, 5.82, 18.06
19Jan19_Tst2,02/02/19 14:10, 1233664, 116, 677, 1183, 471, 5.82, 18.06
19Jan19_Tst2,02/02/19 14:16, 1273608, 116, 677, 1183, 471, 5.82, 18.06
19Jan19_Tst2,02/02/19 14:18, 1209726, 116, 677, 1183, 471, 5.82, 18.06
19Jan19_Tst2,02/02/19 15:40, 1296222, 116, 677, 1183, 471, 5.84, 18.00
19Jan19_Tst2,02/02/19 15:58, 1160798, 116, 677, 1183, 471, 5.82, 18.00
19Jan19_Tst2,02/02/19 16:01, 1260676, 116, 677, 1183, 471, 5.82, 18.06
19Jan19_Tst2,02/02/19 16:10, 1256761, 116, 677, 1183, 471, 5.83, 18.00
19Jan19_Tst2,02/02/19 16:16, 1269483, 116, 677, 1183, 471, 5.84, 18.06
19Jan19_Tst2,02/02/19 16:20, 1204245, 116, 677, 1183, 471, 5.84, 18.06
19Jan19_Tst2,02/02/19 16:22, 1220942, 116, 677, 1183, 471, 5.83, 18.06
19Jan19_Tst2,02/02/19 16:24, 1180725, 116, 677, 1183, 471, 5.81, 18.06
19Jan19_Tst2,02/02/19 16:27, 1312732, 116, 677, 1183, 471, 5.82, 18.06
19Jan19_Tst2,02/02/19 16:29, 1244442, 116, 677, 1183, 471, 5.83, 18.00
19Jan19_Tst2,02/02/19 16:31, 1267089, 116, 677, 1183, 471, 5.85, 18.00
19Jan19_Tst2,02/02/19 16:33, 1198845, 116, 677, 1183, 471, 5.82, 18.00
19Jan19_Tst2,02/02/19 16:35, 1317496, 116, 677, 1183, 471, 5.85, 18.00
19Jan19_Tst2,02/02/19 16:37, 1212897, 116, 677, 1183, 471, 5.82, 17.94
19Jan19_Tst2,02/02/19 16:39, 1298428, 116, 677, 1183, 471, 5.83, 17.94
19Jan19_Tst2,02/02/19 16:41, 1204245, 116, 677, 1183, 471, 5.81, 17.94
19Jan19_Tst2,02/02/19 16:43, 1267089, 116, 677, 1183, 471, 5.83, 17.94
19Jan19_Tst2,02/02/19 16:46, 1226680, 116, 677, 1183, 471, 5.82, 17.88
19Jan19_Tst2,02/02/19 16:48, 1298428, 116, 677, 1183, 471, 5.82, 17.88
19Jan19_Tst2,02/02/19 16:50, 1196451, 116, 677, 1183, 471, 5.82, 17.81
19Jan19_Tst2,02/02/19 16:54, 1254367, 116, 677, 1183, 471, 5.82, 17.75
19Jan19_Tst2,02/02/19 16:58, 1168067, 116, 677, 1183, 471, 5.81, 17.69
19Jan19_Tst2,02/02/19 17:05, 1256761, 116, 677, 1183, 471, 5.82, 17.63
19Jan19_Tst2,02/02/19 17:10, 1232508, 116, 677, 1183, 471, 5.84, 17.63
19Jan19_Tst2,02/02/19 17:15, 1276002, 116, 677, 1183, 471, 5.83, 17.63
19Jan19_Tst2,02/02/19 17:17, 1248158, 116, 677, 1183, 471, 5.83, 17.63
19Jan19_Tst2,02/02/19 17:20, 1232508, 116, 677, 1183, 471, 5.83, 17.63
19Jan19_Tst2,02/02/19 17:22, 1224286, 116, 677, 1183, 471, 5.82, 17.63
19Jan19_Tst2,02/02/19 17:24, 1155992, 116, 677, 1184, 471, 5.82, 17.63
19Jan19_Tst2,02/02/19 17:26, 1254367, 116, 677, 1183, 471, 5.81, 17.63
19Jan19_Tst2,02/02/19 17:28, 1220942, 116, 677, 1183, 471, 5.82, 17.63
19Jan19_Tst2,02/02/19 17:30, 1276002, 116, 677, 1183, 471, 5.84, 17.63
19Jan19_Tst2,02/02/19 17:32, 1198845, 116, 677, 1183, 471, 5.82, 17.63
19Jan19_Tst2,02/02/19 17:34, 1212897, 116, 677, 1183, 471, 5.83, 17.56
19Jan19_Tst2,02/02/19 17:39, 1260676, 116, 677, 1183, 471, 5.82, 17.56
19Jan19_Tst2,02/02/19 17:42, 1210527, 116, 677, 1184, 471, 5.81, 17.56
19Jan19_Tst2,02/02/19 17:44, 1310283, 116, 677, 1183, 471, 5.82, 17.50
19Jan19_Tst2,02/02/19 17:46, 1209726, 116, 677, 1184, 471, 5.81, 17.50
19Jan19_Tst2,02/02/19 17:48, 1289368, 116, 677, 1183, 471, 5.82, 17.56
19Jan19_Tst2,02/02/19 17:50, 1183119, 116, 677, 1184, 471, 5.81, 17.56
19Jan19_Tst2,02/02/19 17:52, 1293828, 116, 677, 1183, 471, 5.82, 17.56
19Jan19_Tst2,02/02/19 17:54, 1215291, 116, 677, 1183, 471, 5.82, 17.50
19Jan19_Tst2,02/02/19 17:56, 1310283, 116, 677, 1184, 471, 5.81, 17.44
19Jan19_Tst2,02/02/19 17:58, 1244442, 116, 677, 1183, 471, 5.81, 17.44
19Jan19_Tst2,02/02/19 18:00, 1337517, 116, 677, 1184, 471, 5.82, 17.38
19Jan19_Tst2,02/02/19 18:03, 1230114, 116, 677, 1184, 471, 5.83, 17.38
19Jan19_Tst2,02/02/19 18:05, 1342887, 116, 677, 1183, 471, 5.83, 17.38
19Jan19_Tst2,02/02/19 18:07, 1210527, 116, 677, 1184, 471, 5.83, 17.31
19Jan19_Tst2,02/02/19 18:09, 1332307, 116, 677, 1183, 471, 5.84, 17.31
19Jan19_Tst2,02/02/19 18:11, 1238428, 116, 677, 1184, 471, 5.84, 17.31
19Jan19_Tst2,02/02/19 18:13, 1289368, 116, 677, 1183, 471, 5.82, 17.38
19Jan19_Tst2,02/02/19 18:15, 1183119, 116, 677, 1184, 471, 5.83, 17.31
19Jan19_Tst2,02/02/19 18:17, 1322443, 116, 677, 1184, 471, 5.83, 17.38
19Jan19_Tst2,02/02/19 18:19, 1250552, 116, 677, 1184, 471, 5.82, 17.38
19Jan19_Tst2,02/02/19 18:22, 1286974, 116, 677, 1183, 471, 5.84, 17.38
19Jan19_Tst2,02/02/19 18:24, 1280236, 116, 677, 1184, 471, 5.83, 17.31
19Jan19_Tst2,02/02/19 18:26, 1300798, 116, 677, 1183, 471, 5.83, 17.31
19Jan19_Tst2,02/02/19 18:28, 1183119, 116, 677, 1183, 471, 5.82, 17.31
19Jan19_Tst2,02/02/19 18:31, 1160798, 116, 677, 1184, 471, 5.82, 17.31
19Jan19_Tst2,02/02/19 18:33, 1329913, 116, 677, 1183, 471, 5.82, 17.31
19Jan19_Tst2,02/02/19 18:36, 1369340, 116, 677, 1183, 471, 5.83, 17.31
19Jan19_Tst2,02/02/19 18:49, 1310283, 116, 677, 1183, 471, 5.83, 17.25
19Jan19_Tst2,02/02/19 18:51, 1215291, 116, 677, 1184, 471, 5.81, 17.25
19Jan19_Tst2,02/02/19 18:54, 1291458, 116, 677, 1183, 471, 5.83, 17.25
19Jan19_Tst2,02/02/19 18:56, 1198845, 116, 677, 1184, 471, 5.83, 17.31
19Jan19_Tst2,02/02/19 19:00, 1310283, 116, 677, 1184, 471, 5.84, 17.25
19Jan19_Tst2,02/02/19 19:14, 1201851, 116, 677, 1184, 471, 5.82, 17.25
19Jan19_Tst2,02/02/19 19:16, 1263070, 116, 677, 1184, 471, 5.83, 17.19
